Postal Code,Score,Amenity Score,Shop Score,Tourism Score,Accessibility Score
6228CD,27.41724666515061,24.98243989060369,17.442300416398897,31.763164232316964,43.34481240587227
6218VL,27.410462275285305,19.22925611882257,20.148261663180737,30.503880426850245,51.38838649392765
6218ER,27.389785285032037,19.292333814464204,20.685184447435542,30.898317018867854,50.15754951332934
6215RX,27.37611128437784,22.162578135962573,18.53846327455473,33.18236223171583,46.427613587597655
6218RE,27.333731459848927,19.53870761278476,19.831475717735263,30.6906149153343,50.77248695955184
6213JV,27.31704735840886,22.786312050731034,18.541130002409613,37.05768315287664,42.946895698176434
6218VP,27.29729618966334,19.114014274512815,20.08640299493884,30.373772522291354,51.218028598408324
6215BR,27.295705177259077,22.042004281079254,18.47998668464131,32.41710282673009,46.74215331525535
6213HN,27.26923974285774,22.233224003041187,18.339679007200054,34.60583335491251,45.34515434905548
6215ET,27.267696655691868,21.835773932495467,18.504415456164732,31.939910182717476,47.218293419072545
6215GE,27.238851203173894,21.72577578555437,18.56641688311087,31.78030814410089,47.28268303454355
6228GD,27.23082013666141,24.81823349809469,17.325306414318558,32.7167379112957,42.45157029034952
6218VV,27.230434422601995,19.031118988288796,20.12718949447219,30.317608196421233,51.020635336251125
6218SJ,27.22134689729993,19.21266142332276,19.784827352334037,30.50539067671998,51.03233872617176
6223AG,27.214116960856174,20.81582854409869,21.207724595349692,32.450028548457354,44.68364660131017
6218TD,27.211780048582824,19.1320496544017,19.858833587857635,30.420941401339487,51.07754748945818
6225AV,27.203822277679613,20.988864762010067,19.228667740980264,29.682605508003494,48.63904770165759
6213GD,27.202046886386103,22.125827675953207,18.292450305470755,34.28513692772818,45.45941748374166
6228CV,27.169825324653864,24.764645713459963,17.270985675637025,31.995762064066568,42.6995928966903
6215BS,27.163311467265768,21.939689188652803,18.383248663518376,32.434183254049486,46.429742958605566
6218VK,27.163239349983957,19.011386801476775,19.958720101637336,30.254379124170253,51.01268660880355
6228CS,27.152699720716075,24.746176197307523,17.25727697036004,32.191521894022664,42.574668602386154
6228CB,27.096876869919832,24.683057958646422,17.230359083184105,31.475811706853634,42.82354818558442
6218HB,27.088285631229596,19.125960115802773,20.652828669848937,30.854605159548388,49.07222914243945
6218VR,27.05328633911776,18.875968994432085,19.948306515300434,30.1261458339266,50.82043816404132
6226NE,27.039810918692954,22.65227806106787,19.04947888306044,28.14644383728041,45.539386401834705
6218BH,26.940167998569613,18.85812848464305,20.146563926049005,30.274099436009333,49.92630843775146
6215GD,26.922575271005325,21.63301299384969,18.230239225097346,31.75561905275147,46.423414075434366
6225CA,26.89538487892055,20.724562351557637,18.96580467000991,29.29399915047817,48.23354236498945
6215RJ,26.839141532884508,21.681373611073564,18.147063728247705,32.399081119207516,45.71782553551519
6223AM,26.82060841865097,20.575776130122,20.825740189876903,32.01765091042669,44.01022577822451
6228CW,26.811556879709197,24.426197462005735,17.029770984404188,31.75902999556306,42.087961326148005
6218RG,26.808936028855296,19.154766556949657,19.411649409414704,30.182336415537538,49.833413551664435
